,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0
1,-17.925153169471365,-115.78609640530358,-209.61377597833223,-300.6725619279721,-401.43827525633117,-498.42267741407636,-586.0764617194812,-682.7795741666614,-779.8014025336091,-875.5011148208026,-954.3882801467365,-1060.8568479771293,-1161.0482264909415,-1232.1433193460546,-1384.5746508260327,-1422.8154912397822,-1549.0889763372745,-1674.5652780371704,-1775.6064420147557,-1837.27680830003,-1967.7457976804685,-2070.0111940914194,-2112.9517836940245,-2197.0473194939573,-2326.6409395417195,-2424.909554995073,-2464.2504062594544,-2566.254348687211,-2768.409599450942,-2869.5352786484555,-2910.923008579226,-3071.1164080804124,-3105.8104568937033,-3144.1038730837886,-3305.1754943423425,-3471.1291246515,-3428.7873506870073,-3670.856019703649,-3687.377680307579,-3704.7330438220415,-3868.2952304431938
2,-19.342472644046083,-130.55810382109618,-217.4494510535886,-317.80122053781616,-415.6835271991258,-515.955191061313,-679.0823433902107,-756.2049260256357,-863.6322796515796,-1014.6550467300954,-1079.1104555426396,-1230.1727593599853,-1285.9942439133215,-1328.5197285265203,-1502.4457778126507,-1609.0705290274577,-1715.7496668247575,-1732.1472225015684,-1926.768476015891,-1939.913485861571,-2035.3416282712737,-2141.262055175375,-2340.736536285873,-2483.7624979165703,-2456.7287041218533,-2810.5179823023873,-2786.9042836640283,-2901.793144740074,-2864.0564917163997,-2968.730300082953,-3073.7055477007057,-3487.3945933173673,-3439.5074151162944,-3719.708017167155,-3830.0736092917527,-3941.369826547769,-4056.6363776629305,-3983.037251988544,-4083.4259634081604,-4189.097124116044,-4484.183325092668
3,-20.996012031049922,-142.7921124728542,-259.9244053080543,-380.7846555826342,-482.96965446571966,-619.7431236497558,-743.5892053393949,-838.3678365277718,-957.4349696225444,-1075.0013006242698,-1236.2863268378596,-1347.0413226399842,-1473.764597572765,-1544.958872570397,-1693.628759297038,-1783.8680731130792,-1902.1871390601534,-2048.6594910433655,-2208.124182350548,-2255.989609683368,-2407.536763960547,-2532.3880597733228,-2683.485414309696,-2799.096872742951,-2952.4977627986746,-3027.061147494253,-3193.667140636031,-3216.7550734684137,-3442.3111993594334,-3451.791158423199,-3693.6185100090975,-3756.052476093814,-3940.8205330426526,-4072.2461852644183,-4057.1214100660654,-4314.983978760083,-4297.126909134842,-4489.082022987591,-4602.4822936921755,-4721.688551125716,-4749.386102183727
4,-22.95019494296355,-152.88684997038635,-281.75844215424104,-412.6741697265099,-532.6714412353303,-661.4924985270061,-793.6427694611576,-910.6512762121142,-1039.929057770048,-1203.5923279537485,-1299.312356550392,-1415.1587156072555,-1548.402288261198,-1703.841497349524,-1864.8450101422234,-1997.2651706688134,-2129.795060792895,-2255.81035386549,-2391.7263807460527,-2525.89775601822,-2651.0401061387784,-2704.446065207261,-2906.552270156032,-2989.8556793559464,-3198.04301396219,-3232.975797266457,-3355.2959716029422,-3547.255534692814,-3616.6122174830175,-3806.49944555258,-3940.7883745553786,-4135.557246647797,-4204.554217864713,-4410.882202106639,-4541.814265526617,-4603.800704101909,-4810.433900874373,-4942.498570531917,-4991.36704766419,-5042.660237591688,-5317.353020564063
5,-25.295214437259908,-175.40053496742502,-319.9592863696651,-468.9415866991609,-602.7135853588634,-748.5917483797067,-880.1070464072735,-1067.391403833326,-1218.9219635470529,-1341.7015607491235,-1492.943592205431,-1626.6995871679806,-1743.5675170873176,-1889.3006470844762,-2078.7045111564453,-2181.3416877356944,-2422.124566872184,-2514.591389252038,-2666.0490188206577,-2872.5875316200422,-3015.244116752656,-3108.315671727987,-3174.2324971716343,-3365.9662472915406,-3492.6973153584086,-3790.0733769931026,-3778.0505687632367,-4095.056088162096,-4240.173439231321,-4394.549390107839,-4459.392212010918,-4516.562971312578,-4853.834639651185,-5015.2454223173045,-5062.24569207928,-5314.380774512101,-5469.602290961812,-5397.79842758511,-5648.028752430612,-5911.42626135086,-5926.913322620471
