,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-2.000780371,-11.08195503,-27.19902646,-36.85285585,-37.54587966,-37.49764088,-40.77437083,-38.16350857,-40.65418168,-39.90265486,-41.63124511,-41.03209399,-40.01139526,-40.73659122,-40.0763441,-40.27888345,-40.83979535,-38.04773797,-41.02130826,-39.49696546
1,-182.8880046,-116.1800929,-75.64593329,-53.89805827,-42.66887837,-33.93490849,-17.61291395,-6.293777033,2.094181757,6.512252004,10.19861534,8.099600381,9.675232958,14.2944512,10.0899229,12.25607584,14.18311248,12.25607584,10.3290392,12.25607584
2,65.36622586,31.69354738,25.48752523,30.49918961,27.56306645,26.98771271,25.41824232,11.38335612,8.780034681,6.513460449,7.497511098,6.951569201,6.227126479,4.952438159,5.550006072,5.891139155,5.058588215,6.089806589,6.367846588,5.808494015
3,22.0912,11.2166,30.3822,20.7225,-8.5553,0.3421,-24.3726,-60.9506,-50.2132,-56.5026,-63.9164,-50.6389,-62.0912,-71.8252,-81.7112,-80.2396,-88.1369,-100.3784,-99.0227,-95.5513
4,-180.1084,-131.9698,-141.9472,-120.3041,-93.0128,-127.8461,-103.7108,-102.9547,-57.6957,-35.8192,-25.259,-10.9277,-13.9458,5.6687,4.1597,14.6462,7.9307,20,15.4728,14.7199
5,110,107.8386,102.7775,91.0821,92.7381,93.2435,94.865,85.676,78.1086,67.9208,55.4061,57.0276,50.01,58.1091,54.3245,57.5675,55.4061,53.2437,55.1732,65.2973
