,0
0,-0.004
1,-0.024
2,-0.12000000000000002
3,-0.14000000000000004
4,24.899001043227585
5,24.85500104322758
6,47.480486226149445
7,47.46048622614946
8,47.44048622614948
9,76.84066565726091
10,76.82066565726093
11,76.80066565726095
12,76.78066565726097
13,76.76066565726099
14,107.33040166583143
15,107.31040166583145
16,107.29040166583147
17,107.27040166583149
18,107.2504016658315
19,135.97119013737256
20,135.95119013737258
21,135.9311901373726
22,161.70168848360797
23,161.68168848360799
24,164.52903283583768
25,164.4890328358376
26,164.46903283583754
27,190.9795861306076
28,190.95958613060753
29,221.48678488785146
30,245.1875494496776
31,245.1675494496775
32,245.14754944967743
33,275.97109762881803
34,360.3872593963439
35,362.1351002992389
36,362.11510029923886
37,362.09510029923877
38,390.0442741516653
39,390.0242741516652
40,390.0042741516652
