,0
0,1.6880479028141422
1,6.509418183231006
2,3.609418183231007
3,8.84270719278909
4,7.442707192789092
5,12.649525155660548
6,15.064309276794512
7,14.564309276794514
8,14.064309276794516
9,12.464309276794518
10,12.158512883410037
11,10.858512883410038
12,9.75851288341004
13,26.741658701855606
14,26.2416587018556
15,25.74165870185559
16,31.205221334737786
17,30.70522133473778
18,36.21826469140207
19,34.71826469140206
20,32.51826469140206
21,32.01826469140205
22,29.81826469140205
23,29.418264691402044
24,34.95629972550464
25,38.00938481223743
26,36.709384812237424
27,34.509384812237414
28,32.909384812237406
29,33.60868061945024
30,33.10868061945023
31,33.031272806127795
32,33.72939504522524
33,38.23621300809669
34,37.73621300809668
35,37.236213008096676
36,35.93621300809667
37,34.23621300809667
38,33.23621300809666
39,32.736213008096655
40,33.1156460812412
